	description
畢業要求	本系學生應修畢128學分，包含校必修16學分、主系必修43學分、院選修2學分、主系選修44學分、博雅核心課程6學分、博雅選修課程6學分、跨域學分9學分、剩餘學分2學分。\n除此之外，還應具備英語中高級以上能力，不過如果不想考英檢或多益認證的話，也可以選擇修課的方式，只要修習至少十學分的任二種外語課程，就可以通過英文能力的畢業條件啦~
想要畢業	想要畢業沒問題！讓本bot來跟你說說本系的畢業條件。本系學生應修畢128學分，包含校必修16學分、主系必修43學分、院選修2學分、主系選修44學分、博雅核心課程6學分、博雅選修課程6學分、跨域學分9學分、剩餘學分2學分。\n除此之外，還應具備英語中高級以上能力，不過如果不想考英檢或多益認證的話，也可以選擇修課的方式，只要修習至少十學分的任二種外語課程，就可以通過英文能力的畢業條件啦~
學分	本系學生應修畢128學分，包含校必修16學分、主系必修43學分、院選修2學分、主系選修44學分、博雅核心課程6學分、博雅選修課程6學分、跨域學分9學分、剩餘學分2學分。
華文	一般最容易把「華語文學系」和「中國文學系」搞混。華語文學系主要是訓練學生教導外國人學華語，中國文學系則主要是中國文學專業，教學以本國人為主。在學習內容上，華語文學系課程包含中國文學系部分專業，但更加強教學法、教材運用、語言學知識、數位科技輔助教學等。
華文系	官方話：本系以對外華語文教學之人才設立，兼顧多元發展與專業能力，以「語文」、「數位」、「教學」為主軸，以「華語文教學相關之語言學知識能力」、「中國文史哲學能力」、「對外華語教學能力」、「多媒體與數位應用能力」四項為系核心能力。\n人話：本系除了培育學生的文史哲學素養、語言學等相關理論知識以外，還注重提升學生在對外華語教學和數位設備工具應用的能力。積極安排學生至國外進行教學實習，與國際接軌。未來，學生可以在國內、外從事華語教學，或進入與華語文相關的產業工作。
海外實習地點	本系透過各項計畫或產學合作，薦送學生至國外教學實習，歷年實習國家包括美國、日本、瑞士、越南、法國、泰國、韓國、菲律賓等等國家。
國內實習地點	本系與台北淡江華語中心維持積極合作，近幾年已有多位學生於寒暑假前往淡江華語中心實習，更有多位學生在畢業後直接留在淡江華語中心任教，成為畢業即就業的寫照。
實習地點	本系提供學生豐富的實習機會，歷年實習國家包括美國、日本、瑞士、越南、法國、泰國、韓國、菲律賓等國家。如果不想出國，國內也有華語中心的實習機會喔！
實習時間	關於實習時間，國內外有所不同，國內實習於每年寒暑假都可報名，如果大四時課比較少了，你也可以在平日實習！國外實習時間大多在暑假期間，半個月到一個月不等，實習的詳細工作時間需要看當年的實習學校怎麼安排喔～
一定要國外實習嗎	當然不一定啦，實習並不是本系的畢業條件，所以就算你不想到國外實習也沒關係喔～
一定要實習嗎	當然不一定啦，實習並不是本系的畢業條件，所以就算你不想實習也沒關係喔～
只想在國內實習	當然可以啦，實習沒有硬性規定，不管你想不想實習、想去哪裡實習，都可以隨你自己心意噠～
可以去海外實習	當然可以啦，實習沒有硬性規定，不管你想不想實習、想去哪裡實習，都可以隨你自己心意噠～
實習	你想諮詢國內實習還是國外的實習呢?
國內實習	本系與台北淡江華語中心維持積極合作，近幾年已有多位學生於寒暑假前往淡江華語中心實習，更有多位學生在畢業後直接留在淡江華語中心任教，成為畢業即就業的寫照。
海外實習	本系透過各項計畫或產學合作，薦送學生至國外教學實習，歷年實習國家包括美國、日本、瑞士、越南、法國、泰國、韓國、菲律賓等等國家。